Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/lu.svg-975,150,212,0,3045,432.09,0.000%,1.99179,0.95,1.28,490.0
test/autenticacion2/authentication-ui/assets/svg/countries/li.svg-973,150,422,0,3522,686.74,0.000%,1.98549,46.20,1.27,23825.0
test/autenticacion2/authentication-ui/assets/svg/countries/my.svg-977,150,139,0,1518,285.47,0.000%,1.97694,1.76,1.27,913.0
test/autenticacion2/authentication-ui/assets/svg/countries/mg.svg-978,150,188,0,3043,397.20,0.000%,1.97371,0.94,1.27,485.9
test/autenticacion2/authentication-ui/assets/svg/countries/mo.svg-976,150,234,0,2110,446.02,0.000%,1.96482,5.03,1.26,2622.0
test/autenticacion2/authentication-ui/assets/svg/countries/mw.svg-979,150,213,0,3042,455.69,0.000%,1.96122,2.20,1.26,1151.0
test/autenticacion2/authentication-ui/assets/svg/countries/ml.svg-981,150,189,0,3836,426.06,0.000%,1.95379,1.00,1.25,524.9
test/autenticacion2/authentication-ui/assets/svg/countries/mv.svg-980,150,205,0,3039,412.72,0.000%,1.95351,1.06,1.25,556.0
test/autenticacion2/authentication-ui/assets/svg/countries/mq.svg-983,150,160,0,1090,296.56,0.000%,1.94998,0.93,1.25,485.9
test/autenticacion2/authentication-ui/assets/svg/countries/ma.svg-984,150,194,0,4467,463.08,0.000%,1.93673,0.99,1.24,524.0
test/autenticacion2/authentication-ui/assets/svg/countries/mt.svg-982,150,424,0,5881,865.38,0.000%,1.92359,28.65,1.23,15253.9
test/autenticacion2/authentication-ui/assets/svg/countries/mu.svg-985,150,167,0,2012,325.78,0.000%,1.91178,0.98,1.23,526.9
test/autenticacion2/authentication-ui/assets/svg/countries/yt.svg-987,150,178,0,1512,325.79,0.000%,1.91170,0.91,1.23,485.9
test/autenticacion2/authentication-ui/assets/svg/countries/mr.svg-986,150,175,0,4608,483.34,0.000%,1.90305,1.19,1.22,638.9
test/autenticacion2/authentication-ui/assets/svg/countries/mc.svg-989,150,250,0,4467,578.83,0.000%,1.90285,0.83,1.22,447.9
test/autenticacion2/authentication-ui/assets/svg/countries/mn.svg-990,150,255,0,3086,476.87,0.000%,1.89017,4.53,1.21,2451.9
test/autenticacion2/authentication-ui/assets/svg/countries/ms.svg-991,150,292,0,3068,540.68,0.000%,1.89005,17.07,1.21,9250.9
test/autenticacion2/authentication-ui/assets/svg/countries/mz.svg-993,150,294,0,9632,921.58,0.000%,1.87923,9.35,1.21,5096.0
test/autenticacion2/authentication-ui/assets/svg/countries/mx.svg-988,150,1168,0,5094,1352.92,0.000%,1.84234,288.01,1.18,160078.0
test/autenticacion2/authentication-ui/assets/svg/countries/na.svg-995,150,154,0,1378,274.57,0.000%,1.83211,1.77,1.18,987.9
test/autenticacion2/authentication-ui/assets/svg/countries/mm.svg-994,150,228,0,3242,476.41,0.000%,1.83184,1.65,1.18,925.0
